node_id,name,community
109,Giddean Danu,1
5,Anakin,2
7,C-3Po,2
8,Leia,2
2,Qui-Gon,2
18,Bail Organa,3
13,Darth Vader,3
1,Finn,3
6,Han,3
9,Jar Jar,3
0,Luke,3
3,Obi-Wan,3
12,Poe,3
4,Rey,3
34,Count Dooku,4
25,General Grievous,4
24,General Hux,4
23,Gold Leader,4
27,Mace Windu,4
11,Padme,4
10,Red Leader,4
26,Tarkin,4
22,Wedge,4
21,Biggs,5
19,Captain Panaka,5
14,Emperor,5
16,Kylo Ren,5
35,Lama Su,5
17,Lando,5
20,Nute Gunray,5
36,Red Ten,5
15,Yoda,5
32,Admiral Ackbar,6
29,Fode/Beed,6
33,Piett,6
28,Ric Olie,6
30,Rune,6
31,Shmi,6
37,Gold Five,7
38,Sio Bibble,8
39,Watto,9
40,Taun We,10
41,Rieekan,11
42,Maz,12
43,Captain Phasma,13
44,Owen,14
45,Boba Fett,15
46,Zev,16
47,Snap,17
48,Jango Fett,18
49,Darth Maul,19
50,Bravo Two,20
51,Unkar Plutt,21
52,Beru,22
53,Janson,23
54,Boss Nass,24
55,Tey How,25
56,Ello Asty,26
57,Tc-14,27
58,Dack,28
59,Jess,29
60,Lor San Tekka,30
61,Kitster,31
62,Captain Typho,32
63,Ki-Adi-Mundi,33
64,Ruwee,34
65,Clone Commander Cody,35
66,Clone Commander Gree,36
67,Odd Ball,37
68,Jabba,38
69,Snoke,39
70,General Ceel,40
71,Bala-Tik,41
72,Ozzel,42
73,Lieutenant Mitaka,43
74,Colonel Datoo,44
75,Boushh,45
76,Bib Fortuna,46
77,Needa,47
78,Yolo Ziff,48
79,Admiral Statura,49
80,Jerjerrod,50
81,Tion Medon,51
82,Poggle,52
83,Derlin,53
84,Jobal,54
85,Sola,55
86,Orn Free Taa,56
87,Senator Ask Aak,57
88,Bravo Three,58
89,Valorum,59
90,Wald,60
91,Jira,61
92,Sebulba,62
93,Tarpals,63
94,Dofine,64
95,Sun Rit,65
96,Cliegg,66
97,Fang Zar,67
98,Dodonna,68
99,Motti,69
100,Camie,70
101,Captain Antilles,71
102,Mon Mothma,72
103,Niv Lek,73
104,Bb-8,74
105,Pk-4,75
106,Greedo,76
107,Plo Koon,77
108,Rabe,78
